SerialNumber,TransactionID,UserID,TransactionAmount,TransactionType,TransactionTime,TransactionDate,Location,DeviceType,MerchantCategory,CardType,IsForeignTransaction,IsHighRiskCountry,UserTransactionFrequency,AmountBefore,AmountAfter,IsFraud
45,TXN3F970654DF,USR333719,"€8,223.87",Debit,08:28:50,2023-09-01,London,Desktop,Food,Debit,0,0,10,4965.12,-3258.75,0
46,TXN58ECE74DE0,USR310737,"$4,52,007.03",Debit,22:09:14,2023-09-21,London,Unknown,Travel,Debit,0,0,6,2665.47,-449341.56,1
47,TXN07763DB32B,USR907883,"$5,901.12",Credit,19:03:46,2024-04-08,New York,Tablet,Travel,Credit,0,0,8,926.56,6827.68,0
48,TXN9258563A77,USR439489,"$6,314.82",Credit,20:34:43,2025-05-04,Tokyo,Desktop,Luxury,Debit,1,0,4,2019.0,8333.82,1
49,TXN937E768A51,USR114115,"€1,374.79",Debit,06:36:05,2023-03-27,Delhi,Desktop,Luxury,Prepaid,0,0,6,4843.17,3468.38,0
50,TXNE766F5A50B,USR748036,"€7,832.25",Credit,06:19:06,2023-10-14,Tokyo,Unknown,Luxury,Debit,0,0,11,8738.16,16570.41,1
51,TXNB64B18C72B,USR422798,"€4,317.03",Debit,03:14:14,2024-05-31,Tokyo,Desktop,Food,Debit,0,0,5,327.03,-3990.0,0
52,TXN8308370669,USR482364,"€3,558.67",Debit,15:43:06,2024-12-01,Lagos,Desktop,Utility,Debit,0,0,2,6006.86,2448.19,0
53,TXNA2D7E923B3,USR205704,"₹8,226.24",Debit,11:10:48,2025-06-19,London,Mobile,Utility,Debit,0,0,7,7023.01,-1203.23,0
54,TXN6A16AF99E0,USR821707,"€5,247.58",Credit,12:44:32,2023-11-23,Dubai,Mobile,Utility,Credit,0,0,6,5912.41,11159.99,0
55,TXN8B4E92E58E,USR894424,$164.64,Credit,04:15:58,2024-08-26,Delhi,Tablet,Travel,Debit,0,0,7,3507.67,3672.31,0
56,TXN285664E758,USR237506,$304.11,Debit,21:39:33,2023-01-26,Delhi,Tablet,Food,Prepaid,0,0,10,3963.04,3658.93,0
57,TXNBA2D0D543A,USR206158,"€2,077.14",Credit,13:17:32,2023-04-06,Dubai,Mobile,Retail,Credit,0,0,8,1186.1,3263.24,0
58,TXN85FBAF4E47,USR631184,"₹1,105.06",Debit,22:01:12,2024-04-07,Tokyo,Tablet,Food,Credit,0,0,7,2685.34,1580.28,0
59,TXN68BEC72176,USR668000,"₹1,609.99",Debit,23:02:35,2023-12-06,New York,Tablet,Utility,Credit,1,0,7,511.65,-1098.34,1
60,TXNE35E6941ED,USR232560,"€9,909.28",Debit,06:00:51,2023-10-16,Beijing,Unknown,Utility,Prepaid,1,0,10,605.39,-9303.89,1
61,TXN5E194430C1,USR907127,"₹8,721.21",Credit,04:17:20,2023-01-12,New York,Tablet,Utility,Prepaid,0,0,3,5232.08,13953.29,0
62,TXN313FB2592E,USR978314,"₹6,647.78",Debit,04:29:42,2024-06-11,Dubai,Desktop,Food,Prepaid,1,0,6,9979.0,3331.22,1
63,TXN044A4BD40D,USR969982,"€5,299.83",Credit,01:15:52,2025-03-19,New York,Unknown,Food,Prepaid,0,0,8,842.5,6142.33,1
64,TXN78AD1A27B8,USR594784,$420.09,Credit,04:14:58,2024-04-24,Tokyo,Unknown,Food,Debit,0,0,5,2892.69,3312.78,1
65,TXND733C3D0DD,USR152305,"$8,581.35",Debit,17:00:19,2023-02-20,Delhi,Unknown,Utility,Debit,0,1,6,1673.78,-6907.57,1
66,TXN9322EFFD8D,USR260888,"$4,34,089.71",Credit,15:25:10,2024-08-21,London,Mobile,Food,Credit,0,0,8,1191.35,435281.06,1
67,TXN96284247D1,USR981424,"$8,941.96",Debit,11:44:29,2023-09-17,Lagos,Mobile,Retail,Prepaid,0,0,4,5149.54,-3792.42,0
68,TXN29D02F11BC,USR138693,"$1,91,776.17",Debit,21:04:27,2024-12-14,Beijing,Unknown,Utility,Debit,0,0,3,6144.46,-185631.71,1
69,TXNE3492FC0B7,USR854471,"₹1,507.54",Credit,21:18:48,2023-05-29,New York,Mobile,Luxury,Debit,0,0,3,8933.19,10440.73,0
70,TXN1A270A0A7A,USR582248,"₹1,004.71",Debit,22:59:45,2023-05-12,Delhi,Tablet,Retail,Credit,0,0,6,6444.06,5439.35,0
71,TXN9C45AF9B98,USR557625,"$6,910.73",Credit,09:49:44,2024-10-16,Tokyo,Desktop,Utility,Prepaid,0,0,8,1634.01,8544.74,0
72,TXNAC5189DD8E,USR236147,"₹8,437.03",Credit,13:20:21,2023-06-24,Tokyo,Unknown,Food,Credit,0,0,11,3603.3,12040.33,1
73,TXN50E43479F8,USR993703,"€8,296.43",Debit,09:33:26,2023-09-25,Delhi,Unknown,Utility,Prepaid,1,0,9,3121.63,-5174.8,1
74,TXND5DDF60482,USR385342,"$1,98,342.37",Credit,01:26:25,2023-07-14,Tokyo,Unknown,Retail,Credit,0,0,4,7212.68,205555.05,1
75,TXN19D63B77DE,USR856009,"€9,270.37",Debit,11:23:16,2024-08-19,Beijing,Tablet,Utility,Debit,0,1,5,2990.27,-6280.1,1
76,TXNC1D0238919,USR380107,"€1,07,119.22",Credit,23:01:17,2024-09-29,Beijing,Unknown,Luxury,Debit,0,1,7,7482.78,114602.0,1
77,TXND81A466CA4,USR738707,"€5,287.35",Debit,07:04:23,2025-01-10,New York,Tablet,Luxury,Credit,0,0,7,4152.03,-1135.32,0
78,TXN803E056F5B,USR606133,"₹2,707.89",Credit,14:58:47,2024-03-17,Tokyo,Unknown,Travel,Prepaid,0,0,9,7432.11,10140.0,1
79,TXN2BC4B51278,USR496140,"$3,901.51",Credit,09:33:15,2023-12-16,Delhi,Mobile,Utility,Prepaid,0,1,6,7434.54,11336.05,1
80,TXN8FABB2D1EF,USR967718,"₹9,099.14",Debit,21:23:35,2023-09-06,London,Unknown,Luxury,Prepaid,0,0,7,8902.95,-196.189999999999,1
81,TXNB98C85BE97,USR339628,"€4,61,424.44",Debit,16:41:05,2024-07-04,London,Desktop,Retail,Credit,0,0,8,9698.96,-451725.48,1
82,TXN10FA1CFCCA,USR579179,"€6,531.93",Credit,18:12:08,2025-02-14,Dubai,Tablet,Food,Prepaid,0,0,8,2782.54,9314.47,0
83,TXN15763091AF,USR326866,"$1,24,527.01",Debit,17:34:22,2024-03-02,Dubai,Tablet,Travel,Credit,0,1,4,2998.24,-121528.77,1
84,TXNF0A7CCBA93,USR206825,"€4,32,088.80",Debit,13:08:35,2023-12-16,Lagos,Desktop,Luxury,Prepaid,0,0,8,5688.23,-426400.57,1
85,TXND09CE8B467,USR689626,"$2,315.43",Credit,19:06:13,2023-08-25,Tokyo,Desktop,Luxury,Debit,1,0,9,9286.1,11601.53,1
86,TXN019BE0CC84,USR344819,"₹1,074.91",Credit,11:10:55,2024-02-12,New York,Tablet,Food,Debit,0,0,4,8597.15,9672.06,0
87,TXN6DC387F27E,USR874606,"$2,242.57",Credit,12:55:44,2025-02-17,Lagos,Unknown,Travel,Prepaid,0,1,5,5522.42,7764.99,1
88,TXNDE1AE8BB89,USR748345,"$2,736.24",Credit,00:38:17,2024-02-16,New York,Mobile,Travel,Prepaid,0,0,8,6639.82,9376.06,0
89,TXN0434C664FA,USR270734,"₹8,636.82",Debit,18:26:45,2023-01-07,Dubai,Unknown,Travel,Debit,0,0,4,5028.84,-3607.98,1
90,TXN09AFF1864F,USR372384,"$7,451.70",Credit,12:48:55,2023-01-12,New York,Desktop,Luxury,Prepaid,1,0,9,7436.25,14887.95,1
91,TXN5C28A04D31,USR576510,"₹7,812.50",Debit,14:35:45,2025-03-14,Tokyo,Desktop,Travel,Prepaid,0,0,4,8702.7,890.200000000001,0
92,TXN372F63A265,USR969566,"$5,927.50",Debit,09:57:01,2024-09-15,New York,Unknown,Utility,Credit,0,0,6,8803.23,2875.73,1
93,TXN54FCB142F9,USR785303,"$1,661.13",Credit,23:42:23,2025-02-16,Lagos,Unknown,Utility,Debit,0,0,10,5465.58,7126.71,1
94,TXN6CF63E02FF,USR266810,"€5,676.23",Debit,21:47:37,2025-04-05,Beijing,Desktop,Retail,Debit,0,1,7,827.51,-4848.72,1
95,TXNA93BE3695D,USR699317,"€5,157.04",Debit,13:24:50,2025-03-11,Lagos,Desktop,Luxury,Credit,0,0,6,935.07,-4221.97,0
96,TXN9032431C09,USR786166,"€5,577.05",Debit,08:53:37,2023-08-28,Beijing,Tablet,Utility,Prepaid,0,0,8,9929.56,4352.51,0
97,TXN0011777EF7,USR117493,"€8,784.80",Debit,02:16:32,2024-10-17,Lagos,Tablet,Retail,Credit,1,0,11,8873.83,89.0300000000007,1
98,TXNF7380E29E0,USR313018,"$8,139.57",Debit,16:56:08,2025-04-12,Beijing,Unknown,Food,Credit,1,1,8,1609.43,-6530.14,1
99,TXN8E0DCCD43F,USR161780,"€2,156.06",Credit,02:38:24,2023-04-09,Delhi,Tablet,Travel,Debit,1,0,9,5624.19,7780.25,1
100,TXNC4D8913306,USR693406,$116.11,Debit,15:51:23,2024-09-01,Tokyo,Unknown,Luxury,Debit,1,0,8,734.88,618.77,1
101,TXN768B31159B,USR985438,"€2,206.70",Debit,07:18:16,2023-05-27,Lagos,Mobile,Utility,Credit,0,0,7,8064.74,5858.04,0
102,TXN6002BA7292,USR789255,"₹3,190.56",Debit,12:46:35,2023-03-16,Beijing,Desktop,Food,Debit,0,0,5,3042.92,-147.64,0
103,TXN27C34BE583,USR137229,"$6,949.55",Debit,22:39:01,2024-05-19,Delhi,Tablet,Luxury,Credit,0,0,8,5314.41,-1635.14,0
104,TXN6F09AA47D4,USR873255,"₹9,350.97",Credit,02:05:17,2024-10-07,Tokyo,Desktop,Retail,Credit,0,0,6,374.22,9725.19,0
105,TXN50E3FFD037,USR694224,"$3,406.71",Credit,00:35:30,2024-10-01,Delhi,Mobile,Utility,Prepaid,1,0,6,4636.59,8043.3,1
106,TXNE841993FD8,USR194355,"$3,602.33",Debit,23:14:34,2025-03-19,Tokyo,Unknown,Utility,Credit,1,0,10,4208.95,606.62,1
107,TXND36F142532,USR597886,"$4,765.67",Debit,01:33:37,2023-12-18,Beijing,Unknown,Food,Credit,0,0,9,3372.91,-1392.76,1
108,TXN067AD04F06,USR421662,"$5,656.81",Debit,16:32:29,2024-02-22,London,Mobile,Food,Debit,0,0,4,1150.22,-4506.59,0
109,TXNF3648E9314,USR758948,"€9,569.94",Credit,07:30:40,2023-01-21,New York,Mobile,Food,Prepaid,0,0,8,9271.97,18841.91,0
110,TXNB335816644,USR304122,"€1,73,524.77",Credit,02:13:14,2023-09-30,New York,Desktop,Utility,Credit,0,0,8,2856.52,176381.29,1
111,TXN5A7A1693DF,USR164784,"$8,908.34",Debit,16:35:11,2023-08-02,Dubai,Unknown,Food,Debit,0,1,8,2742.05,-6166.29,1
112,TXNF223B19B76,USR959532,"$9,414.82",Debit,16:29:24,2024-12-22,Beijing,Desktop,Utility,Prepaid,0,0,4,5130.87,-4283.95,0
113,TXNA1B8C3252B,USR696277,"€8,229.94",Debit,22:35:02,2025-03-07,Delhi,Tablet,Utility,Credit,0,0,5,6586.82,-1643.12,0
114,TXNA8D40BBA22,USR874939,"€7,963.73",Debit,04:58:03,2024-11-10,London,Mobile,Luxury,Prepaid,0,0,4,5210.27,-2753.46,0
115,TXN91E7A7ABBF,USR895825,"$1,059.63",Debit,09:29:18,2023-04-14,Lagos,Desktop,Retail,Prepaid,0,0,10,8366.48,7306.85,0
116,TXNE52C4515ED,USR484549,"€6,591.75",Debit,16:23:08,2023-05-13,Lagos,Tablet,Retail,Credit,0,0,11,6174.25,-417.5,1
117,TXNC2454D9244,USR676530,€46.75,Credit,21:55:41,2023-09-13,Dubai,Mobile,Luxury,Credit,0,0,5,4677.56,4724.31,0
118,TXN815EF28F13,USR981591,"$8,010.22",Debit,02:17:51,2024-12-01,Lagos,Desktop,Luxury,Debit,0,0,4,9440.08,1429.86,0
119,TXN5A8B85503F,USR226673,"€8,436.50",Debit,08:49:03,2023-11-30,Delhi,Desktop,Luxury,Debit,0,0,7,2491.06,-5945.44,0
120,TXN8D91084B4B,USR406062,"$7,231.80",Debit,06:13:14,2024-08-26,New York,Tablet,Utility,Debit,0,0,12,8709.55,1477.75,1
121,TXN8BD8CE101E,USR203975,"₹3,63,547.56",Credit,11:44:44,2025-06-28,London,Mobile,Utility,Prepaid,0,0,13,5897.68,369445.24,1
122,TXND28C684FBE,USR187061,"€9,163.97",Debit,18:42:35,2023-09-15,Delhi,Mobile,Travel,Debit,0,0,9,1166.99,-7996.98,0
123,TXNEB1564B793,USR649009,"₹8,977.51",Credit,14:04:44,2024-04-11,Lagos,Unknown,Retail,Prepaid,0,0,5,2779.5,11757.01,1
124,TXNB7F53EBF3E,USR690349,"₹2,08,004.62",Debit,02:17:37,2023-02-16,Dubai,Mobile,Utility,Credit,0,0,7,5487.6,-202517.02,1
125,TXN82B4142423,USR549284,"$3,399.50",Debit,14:53:20,2025-01-23,Delhi,Mobile,Luxury,Credit,1,0,11,3761.36,361.86,1
126,TXNA32AFD6D3A,USR146050,"€6,787.63",Debit,15:49:26,2024-02-07,Beijing,Desktop,Food,Credit,0,0,3,5301.53,-1486.1,0
127,TXN7CB3D1DA22,USR584385,"$3,206.02",Credit,06:58:31,2023-06-19,Lagos,Desktop,Food,Debit,0,0,5,6968.36,10174.38,0
128,TXN46BD56A8F6,USR115191,"$8,174.69",Debit,10:50:36,2023-04-10,Lagos,Mobile,Travel,Credit,0,0,6,5655.22,-2519.47,0
129,TXN4D196175EF,USR529253,€425.10,Credit,12:48:22,2024-01-20,Beijing,Tablet,Travel,Prepaid,0,1,9,7512.88,7937.98,1
130,TXN4D53C0C656,USR607374,"$5,411.29",Credit,01:14:15,2024-10-08,Dubai,Tablet,Luxury,Prepaid,1,0,7,5659.07,11070.36,1
131,TXN33E8BA5BBD,USR787107,"€4,37,271.08",Debit,12:23:49,2023-07-10,Beijing,Desktop,Utility,Credit,0,0,7,688.52,-436582.56,1
132,TXN02BC642DA3,USR937802,"$4,912.60",Debit,03:54:27,2024-12-21,New York,Mobile,Travel,Prepaid,0,1,5,8526.08,3613.48,1
133,TXNB8F0B82343,USR740083,"€5,273.20",Debit,17:17:14,2025-01-19,New York,Desktop,Food,Prepaid,0,0,8,7348.79,2075.59,0
134,TXNF60B6F05DF,USR945390,"€9,851.49",Credit,05:12:42,2023-05-03,New York,Unknown,Food,Prepaid,0,0,6,6153.02,16004.51,1
135,TXNF783DB0DEC,USR519780,€706.90,Credit,22:04:18,2025-02-17,New York,Tablet,Food,Credit,0,0,9,4772.62,5479.52,0
136,TXN2C2C365AC2,USR790973,"$2,686.91",Credit,05:27:20,2024-07-09,Dubai,Tablet,Luxury,Credit,0,0,7,5664.84,8351.75,0
137,TXN24B45A5AD9,USR413530,"€9,547.64",Debit,09:17:33,2023-04-25,Tokyo,Tablet,Utility,Debit,1,0,6,8947.67,-599.969999999999,1
138,TXN52439427F7,USR903595,"$3,877.96",Debit,12:25:24,2025-02-25,Delhi,Desktop,Retail,Credit,0,0,9,6545.62,2667.66,0
139,TXN8DA2697482,USR489891,"$2,24,668.76",Credit,16:54:18,2023-11-14,Dubai,Unknown,Utility,Credit,0,0,13,100.92,224769.68,1
140,TXNCBC50574F7,USR392339,"€4,623.86",Debit,06:21:58,2024-07-18,London,Unknown,Retail,Prepaid,0,0,7,4739.18,115.320000000001,1
141,TXN8BBD4B1789,USR684601,"€1,56,153.96",Debit,19:04:02,2023-04-10,Tokyo,Mobile,Food,Debit,0,0,6,1140.08,-155013.88,1
142,TXNECA56376FA,USR480904,"₹3,289.63",Debit,11:06:48,2024-01-13,London,Unknown,Retail,Debit,0,0,8,678.14,-2611.49,1
143,TXN5E1F2B5F72,USR800141,"₹7,775.44",Debit,19:25:19,2025-06-11,Delhi,Mobile,Food,Prepaid,0,0,4,8369.59,594.150000000001,0
144,TXN64E859E3CF,USR251772,"₹5,488.87",Credit,11:39:40,2024-05-08,New York,Unknown,Retail,Debit,0,0,11,5741.49,11230.36,1
145,TXNDA18DA1A20,USR121544,$357.96,Debit,03:23:02,2023-12-12,Tokyo,Mobile,Food,Prepaid,0,0,9,3151.95,2793.99,0
146,TXNFE3A39F14A,USR220409,"$7,408.74",Debit,22:17:17,2023-03-19,Tokyo,Desktop,Food,Debit,0,0,4,8087.89,679.150000000001,0
147,TXN191431DDC3,USR469822,"₹3,698.25",Credit,11:19:35,2023-08-05,Tokyo,Desktop,Retail,Prepaid,0,0,12,4034.49,7732.74,1
148,TXN83A5C973FD,USR514207,"$7,943.42",Debit,15:40:04,2024-07-28,Lagos,Unknown,Luxury,Debit,0,0,5,7831.76,-111.66,1
149,TXN08B23BCC49,USR635437,€507.53,Credit,19:38:10,2023-04-23,Lagos,Unknown,Food,Prepaid,0,0,5,6215.35,6722.88,1
150,TXN4E14E78F61,USR462793,"$8,201.18",Debit,18:05:21,2025-06-09,Dubai,Tablet,Luxury,Debit,0,0,9,7485.89,-715.29,0
151,TXNDAB10992D5,USR375106,€603.26,Debit,04:14:12,2024-04-28,New York,Unknown,Retail,Credit,0,0,10,6491.67,5888.41,1
152,TXNCEB6EBC672,USR747928,"€1,630.82",Debit,02:59:19,2023-11-13,New York,Unknown,Retail,Debit,0,0,9,2204.14,573.32,1
153,TXN1A8F167A7F,USR708973,"€9,628.84",Debit,10:15:14,2025-06-21,Lagos,Mobile,Food,Prepaid,1,0,9,7359.03,-2269.81,1
154,TXN370337025B,USR891646,"₹9,275.07",Debit,09:39:42,2025-07-08,Dubai,Desktop,Food,Debit,0,0,6,402.13,-8872.94,0
155,TXN4E89910D48,USR509928,"€7,271.64",Credit,10:20:17,2025-05-05,New York,Mobile,Travel,Prepaid,1,1,13,4102.11,11373.75,1
156,TXN6B91A2A6DE,USR230862,$752.07,Debit,04:25:39,2024-06-01,New York,Desktop,Travel,Debit,1,0,4,1847.37,1095.3,1
157,TXN738395BB23,USR193507,"₹7,767.77",Debit,19:16:10,2024-10-28,London,Mobile,Luxury,Credit,0,0,12,1433.43,-6334.34,1
158,TXNBB9AAFF42B,USR905966,"€3,25,134.37",Debit,15:39:10,2025-07-12,Delhi,Desktop,Food,Debit,0,0,5,4101.28,-321033.09,1
159,TXN0D7B8D4B38,USR953197,"$1,269.05",Debit,07:58:42,2024-08-23,Dubai,Unknown,Utility,Credit,0,0,6,5240.69,3971.64,1
160,TXN44CAA2B108,USR674895,"$8,027.06",Debit,19:31:30,2025-05-12,New York,Tablet,Utility,Prepaid,0,0,6,2269.73,-5757.33,0
161,TXN061D49D51D,USR305612,"₹4,635.22",Credit,10:35:50,2024-10-08,London,Mobile,Retail,Prepaid,0,0,8,6876.6,11511.82,0
162,TXND2143751CF,USR783885,"$4,001.38",Debit,19:58:35,2024-06-19,Delhi,Unknown,Luxury,Debit,0,0,7,9524.17,5522.79,1
163,TXN83861F1703,USR852139,"€2,250.27",Debit,02:03:37,2023-09-14,Lagos,Tablet,Travel,Credit,0,0,6,1513.96,-736.31,0
164,TXN6C1A429249,USR534928,"€2,62,936.52",Debit,15:38:34,2023-06-17,Dubai,Mobile,Travel,Credit,0,0,9,5522.84,-257413.68,1
165,TXN2630ADBC6E,USR502624,"$7,183.23",Credit,08:41:03,2024-03-14,Dubai,Unknown,Utility,Debit,1,1,6,5171.49,12354.72,1
166,TXN30E54654E8,USR207784,"€1,714.06",Debit,02:32:01,2025-04-18,Delhi,Tablet,Travel,Debit,1,0,13,7862.04,6147.98,1
167,TXNE8D1E69511,USR943316,"$4,71,203.88",Credit,01:52:23,2023-04-21,Dubai,Mobile,Utility,Credit,0,0,9,8873.88,480077.76,1
168,TXN80890DD376,USR112668,"$2,00,561.00",Debit,12:34:40,2024-01-10,Tokyo,Mobile,Utility,Credit,0,1,9,844.2,-199716.8,1
169,TXN7F49183C12,USR634662,"₹4,475.24",Debit,13:06:07,2025-07-10,London,Mobile,Utility,Prepaid,0,0,6,4812.8,337.56,0
170,TXN710F4F5FA2,USR605687,"₹8,692.14",Credit,00:30:13,2025-07-28,London,Unknown,Luxury,Credit,0,0,9,228.43,8920.57,1
171,TXNDEEEC44E7E,USR690622,"₹5,921.20",Credit,15:11:56,2024-05-15,London,Unknown,Travel,Debit,1,0,3,6978.97,12900.17,1
172,TXN7EC6FC8CFA,USR767371,€805.41,Debit,12:41:13,2023-03-25,New York,Desktop,Food,Credit,0,0,11,2436.6,1631.19,1
173,TXN0C883314AF,USR495016,"$8,748.09",Debit,22:17:31,2023-01-30,New York,Unknown,Luxury,Prepaid,0,1,9,8479.21,-268.880000000001,1
